plant_name,design_scale_10kmd,scale_group,process_group,water_volume_10km3,load_rate_pct,unit_elec_kwh_m3,cod_reduction_elec,carbon_dose_kg_10km3,pac_dose_kg_10km3,dewater_dose_kg_10km3,is_high_consumer,source_file
布吉水质净化厂（三期）,10.0,5–10万m³/d,A²O/AO类,585.05,32.21,0.978,3.173,284.3,1246.25,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
东涌水质净化厂,0.3,≤5万m³/d,A²O/AO类,10.84,,0.971,23.194,1069.19,514.76,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
罗芳水质净化厂,40.0,>30万m³/d,含MBR/膜工艺,4109.11,56.33,0.759,2.241,0.0,952.26,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
滨河水质净化厂,30.0,20–30万m³/d,氧化沟类,4187.85,76.49,0.694,1.894,0.0,0.0,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
埔地吓水质净化厂（三期）,5.0,≤5万m³/d,A²O/AO类,374.32,40.97,0.656,2.675,349.51,556.32,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
洪湖水质净化厂,5.0,≤5万m³/d,含MBR/膜工艺,709.57,77.88,0.636,2.136,1164.23,1755.46,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
沙井水质净化厂（三期）,20.0,10–20万m³/d,其他复合工艺,671.38,18.46,0.603,2.915,309.04,1083.1,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
福永水质净化厂（二期）,22.5,20–30万m³/d,A²O/AO类,1224.18,29.66,0.579,1.602,66.44,1238.12,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
坂雪岗水质净化厂（二期）,12.0,10–20万m³/d,含MBR/膜工艺,1567.62,71.73,0.559,1.486,76.05,468.94,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
埔地吓水质净化厂（二期）,5.0,≤5万m³/d,A²O/AO类,749.48,82.09,0.558,1.807,1.87,14.38,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
公明水质净化厂（二期）,10.0,5–10万m³/d,A²O/AO类,582.64,31.29,0.539,2.156,90.31,868.98,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
平湖水质净化厂,8.0,5–10万m³/d,A²O/AO类,1038.5,71.05,0.477,1.481,50.44,441.23,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
布吉水质净化厂（三期）,10.0,,A²O/AO类,585.05,32.21,0.978,,,,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
罗芳水质净化厂,40.0,,含MBR/膜工艺,4109.11,56.33,0.759,,,,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
埔地吓水质净化厂（三期）,5.0,,A²O/AO类,374.32,40.97,0.656,,,,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
沙井水质净化厂（三期）,20.0,,其他复合工艺,671.38,18.46,0.603,,,,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
福永水质净化厂（二期）,22.5,,A²O/AO类,1224.18,29.66,0.579,,,,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
公明水质净化厂（二期）,10.0,,A²O/AO类,582.64,31.29,0.539,,,,,False,data/raw/深圳市46座污水处理厂2025.10-2026.03能耗药耗统计分析及节能降耗建议_规模工艺完善版.docx
