变量ID,变量名称（中文）,变量名称（英文）,来源系统,数据层级,单位,频率,点位/位置,正常范围,缺失编码,论文章节,OAKI模块,BSM2G变量名,备注
# ===== BSM2G仿真变量（L1：仿真数据）=====
BSM_IN_Q,进水流量,Influent flow rate,BSM2G,[仿真],m³/d,15min,进水口,-9999 or NaN,第3章,OAKI-PL输入,Q_in,BSM2G标准输入
BSM_IN_COD,进水COD,Influent COD,BSM2G,[仿真],mg/L,15min,进水口,-9999 or NaN,第3章,OAKI-PL输入,COD_in,
BSM_IN_TN,进水总氮,Influent total nitrogen,BSM2G,[仿真],mg/L,15min,进水口,-9999 or NaN,第3章,OAKI-PL输入,TN_in,
BSM_IN_NH4,进水氨氮,Influent ammonia,BSM2G,[仿真],mg/L,15min,进水口,-9999 or NaN,第3章,OAKI-PL输入,NH4_in,
BSM_IN_TP,进水总磷,Influent total phosphorus,BSM2G,[仿真],mg/L,15min,进水口,-9999 or NaN,第3章,OAKI-PL输入,TP_in,
BSM_IN_BOD,进水BOD,Influent BOD,BSM2G,[仿真],mg/L,15min,进水口,-9999 or NaN,第3章,OAKI-PL输入,BOD5_in,
BSM_IN_TSS,进水悬浮固体,Influent TSS,BSM2G,[仿真],mg/L,15min,进水口,-9999 or NaN,第3章,OAKI-PL输入,TSS_in,
BSM_OX_DO1,好氧区1 DO,DO zone 1,BSM2G,[仿真],mg/L,15min,好氧区1,0-8 mg/L,-9999 or NaN,第3章,OAKI-PL输入,DO_1,
BSM_OX_DO2,好氧区2 DO,DO zone 2,BSM2G,[仿真],mg/L,15min,好氧区2,0-8 mg/L,-9999 or NaN,第3章,OAKI-PL输入,DO_2,
BSM_OX_DO3,好氧区3 DO,DO zone 3,BSM2G,[仿真],mg/L,15min,好氧区3,0-8 mg/L,-9999 or NaN,第3章,OAKI-PL输入,DO_3,
BSM_CTRL_IR,内回流比,Internal recycle ratio,BSM2G,[仿真],%,15min,好氧→缺氧,-9999 or NaN,第3章,OAKI-PL输入,Q_int,
