plant_alias,E_total_kgCO2eq_m3,E_electricity_kgCO2eq_m3,E_N2O_kgCO2eq_m3,Q_m3
P001,0.38305842947916663,0.32484542766666663,0.04718999999999999,47133900.0
P002,0.35264646366666663,0.2944335636666667,0.04718999999999999,43349100.0
P003,0.313778532,0.255565632,0.04718999999999999,111366000.0
P004,0.3536575973333333,0.2954446973333333,0.04718999999999999,12204000.0
P005,0.3098228903333334,0.25160999033333337,0.04718999999999999,8740900.0
P006,0.335156427,0.27694352699999997,0.04718999999999999,17539900.0
P007,0.32155792833333335,0.26334502833333334,0.04718999999999999,49186100.0
P008,0.3744008466666666,0.31618794666666666,0.04718999999999999,6636900.0
P009,0.300651418,0.24243851799999996,0.04718999999999999,35166300.0
P010,0.3384873,0.2802744,0.04718999999999999,8765700.0
P011,0.33481479899999994,0.276601899,0.04718999999999999,14335700.0
P012,0.36173943191666663,0.30352563266666666,0.04718999999999999,23962000.0
P013,0.34186174799999997,0.28364884799999995,0.04718999999999999,45898700.0
P014,0.29865413366666665,0.24044123366666667,0.04718999999999999,56838900.0
P015,0.3194918923333333,0.26127899233333335,0.04718999999999999,24968200.0
P016,0.38125051747916666,0.3230367746666667,0.04718999999999999,27346000.0
P017,0.3788896526666667,0.3206767526666667,0.04718999999999999,46662900.0
P018,0.3323982263333333,0.2741853263333333,0.04718999999999999,5494800.0
P019,0.38436925733333327,0.3261563573333333,0.04718999999999999,22100000.0
P020,0.31214611566666667,0.25393321566666666,0.04718999999999999,30212400.0
P021,0.29287783166666664,0.23466493166666666,0.04718999999999999,5215800.0
P022,0.3651728236666667,0.30695992366666663,0.04718999999999999,8699900.0
P023,0.3197874276666666,0.2615745276666666,0.04718999999999999,8891800.0
P024,0.3064844643333333,0.2482715643333333,0.04718999999999999,18201500.0
P025,0.30739798999999995,0.24918509,0.04718999999999999,5286300.0
P026,0.25660910033333334,0.19839620033333336,0.04718999999999999,6758700.0
P027,0.34209453533333334,0.2838816353333333,0.04718999999999999,35043700.0
P028,0.3559635863333333,0.2977506863333333,0.04718999999999999,38047800.0
P029,0.35333727266666665,0.29512437266666663,0.04718999999999999,17474800.0
P030,0.32271411833333336,0.26450121833333334,0.04718999999999999,75040900.0
P031,0.3012159563333333,0.24300305633333333,0.04718999999999999,30117600.0
P032,0.337207938,0.278995038,0.04718999999999999,42909700.0
P033,0.3632834116666667,0.30507051166666665,0.04718999999999999,8449400.0
P034,0.43021350712499995,0.371996289,0.04718999999999999,17970600.0
P035,0.362895691,0.304682791,0.04718999999999999,7921600.0
P036,0.328261119,0.270048219,0.04718999999999999,26148300.0
P037,0.35322184733333334,0.2950089473333333,0.04718999999999999,7351000.0
P038,0.32609805599999997,0.26788515599999996,0.04718999999999999,4983800.0
P039,0.384007397875,0.325794007,0.04718999999999999,58280700.0
P040,0.21349676999999997,0.15528387,0.04718999999999999,127100.0
P041,0.35631257366666663,0.2980996736666666,0.04718999999999999,8212600.0
P042,0.3854613436666667,0.32724844366666667,0.04718999999999999,16697700.0
P043,0.33822739933333335,0.28001449933333333,0.04718999999999999,7761800.0
P044,0.31178066666666665,0.25356776666666664,0.04718999999999999,9975600.0
P045,0.40014883,0.34193593,0.04718999999999999,14473100.0
P046,0.2397420893333333,0.1815291893333333,0.04718999999999999,4730900.0
